,sep,sep2,dT,peak,mult,bl1,bl2
960, 34_305, 34_305, 0.0, 12127.9726, 9, 211.238001632, 211.238001632
961, 136_155, 136_155, 0.0, 12127.9726, 100, 22.3018683821, 22.3018683821
962, 22_136, 22_136, 0.0, 12127.9726, 1, 236.471929271, 236.471929271
963, 22_135, 22_135, 0.0, 12127.9726, 1, 249.62726881, 249.62726881
964, 7_250, 7_250, 0.0, 12127.9726, 100, 234.207543289, 234.207543289
965, 5_244, 5_244, 0.0, 12127.9726, 441, 180.198150194, 180.198150194
966, 9_250, 9_250, 0.0, 12127.9726, 9, 251.753000644, 251.753000644
967, 93_155, 93_155, 0.0, 12127.9726, 1225, 212.746265145, 212.746265145
968, 8_109, 8_109, 0.0, 12127.9726, 900, 84.2931393017, 84.2931393017
969, 3_233, 3_233, 0.0, 12127.9726, 1089, 198.22334205, 198.22334205
970, 8_11, 8_11, 0.0, 12127.9726, 2209, 124.742454682, 124.742454682
971, 50_276, 50_276, 0.0, 12127.9726, 100, 218.67531487, 218.67531487
972, 2_146, 2_146, 0.0, 12127.9726, 2916, 131.670092782, 131.670092782
973, 129_155, 129_155, 0.0, 12127.9726, 1089, 207.16228743, 207.16228743
974, 116_318, 116_318, 0.0, 12127.9726, 1, 249.62726881, 249.62726881
975, 6_250, 6_250, 0.0, 12127.9726, 225, 226.339243909, 226.339243909
976, 50_305, 50_305, 0.0, 12127.9726, 9, 247.052248185, 247.052248185
977, 98_175, 98_175, 0.0, 12127.9726, 9, 279.441609882, 279.441609882
978, 3_187, 3_187, 0.0, 12127.9726, 1296, 146.97011034, 146.97011034
979, 3_166, 3_166, 0.0, 12127.9726, 1369, 132.477067198, 132.477067198
980, 116_225, 116_225, 0.0, 12127.9726, 169, 174.183160304, 174.183160304
981, 23_260, 23_260, 0.0, 12127.9726, 225, 213.745861558, 213.745861558
982, 36_186, 36_186, 0.0, 12127.9726, 841, 151.961617961, 151.961617961
983, 22_138, 22_138, 0.0, 12127.9726, 16, 210.732848254, 210.732848254
984, 22_139, 22_139, 0.0, 12127.9726, 49, 198.22334205, 198.22334205
985, 2_116, 2_116, 0.0, 12127.9726, 400, 133.811210293, 133.811210293
986, 14_155, 14_155, 0.0, 12127.9726, 1296, 156.113078675, 156.113078675
987, 10_155, 10_155, 0.0, 12127.9726, 1, 248.771890159, 248.771890159
