,sep,sep2,dT,peak,mult,bl1,bl2
686, 0_45, 14_64, -0.00700000114739, 5386.74955964, 315, 73.48505517, 80.4105299904
759, 14_47, 29_70, -0.0100000016391, 7264.61471415, 204, 118.010395022, 114.029645268
482, 22_69, 0_39, 0.00400000065565, 4934.12378315, 504, 66.9056051464, 74.9213810159
556, 3_42, 22_69, -0.011000001803, 6158.22828358, 336, 68.9969081433, 66.9056051464
687, 24_62, 3_31, -0.00200000032783, 4776.4728965, 352, 63.6399245757, 55.2747078991
557, 27_83, 14_62, 0.0080000013113, 6120.61028846, 340, 91.1769707766, 97.2115905298
483, 14_63, 26_83, -0.00700000114739, 5765.62447766, 425, 88.0046210908, 81.2893596973
760, 5_7, 5_15, 0.0160000026226, 1465.183421, 1036, 81.2893596973, 91.1769707766
688, 1_34, 14_52, 0.012000001967, 6220.01851602, 270, 65.8350463912, 65.8350463912
558, 3_42, 24_62, 0.0080000013113, 5888.4722341, 352, 68.9969081433, 63.6399245757
484, 24_63, 0_29, -0.011000001803, 6047.85522897, 396, 75.8638253715, 72.0200897898
689, 1_45, 14_52, 0.00900000147521, 424.202976729, 270, 80.4105299904, 65.8350463912
761, 24_94, 14_66, 0.0100000016391, 5870.49594605, 252, 77.2559382831, 72.0200897898
559, 24_88, 0_39, 0.00700000114739, 5810.48530073, 360, 81.2893596973, 74.9213810159
690, 14_54, 24_84, -0.00500000081956, 904.770253892, 1938, 50.575883581, 63.6399245757
485, 3_24, 27_57, -0.011000001803, 6045.4646688, 396, 72.0200897898, 75.8638253715
560, 0_1, 30_42, -0.00100000016391, 4751.93341165, 432, 14.6, 22.3018683821
762, 26_94, 14_77, 0.00500000081956, 5564.30787989, 280, 87.6, 94.9935436403
691, 1_22, 0_21, -0.00900000147521, 5634.67129586, 296, 83.0191142649, 77.2559382831
486, 0_60, 24_105, -0.00100000016391, 5174.67802594, 462, 80.4105299904, 88.8083329424
561, 24_64, 24_52, 0.0210000034422, 2532.93387833, 812, 88.8083329424, 91.1769707766
562, 0_28, 0_28, 0.0, 12127.9726, 169, 60.7846471844, 60.7846471844
563, 0_113, 0_113, 0.0, 12127.9726, 169, 144.04017958, 144.04017958
564, 24_32, 24_32, 0.0, 12127.9726, 169, 117.103771644, 117.103771644
565, 7_25, 7_25, 0.0, 12127.9726, 169, 30.3923235922, 30.3923235922
692, 2_7, 14_20, 0.0, 4759.56388665, 350, 38.6279691415, 46.9324337035
487, 24_71, 14_42, 0.00200000032783, 860.229411817, 2806, 52.6410486218, 38.6279691415
763, 27_83, 3_34, -0.0080000013113, 6178.0434054, 240, 91.1769707766, 85.5481930454
566, 3_15, 10_24, 0.0100000016391, 5566.14737909, 368, 63.6399245757, 59.0051975112
693, 24_95, 14_66, -0.011000001803, 6170.16658609, 270, 75.8638253715, 72.0200897898
488, 34_93, 70_80, 0.00100000016391, 40.2328721312, 8, 140.79730111, 146.0
489, 25_31, 25_31, 0.0, 12127.9726, 196, 88.0046210908, 88.0046210908
490, 14_77, 14_77, 0.0, 12127.9726, 196, 94.9935436403, 94.9935436403
491, 0_77, 0_77, 0.0, 12127.9726, 196, 109.581081092, 109.581081092
492, 28_31, 28_31, 0.0, 12127.9726, 196, 44.6037367642, 44.6037367642
493, 24_31, 24_31, 0.0, 12127.9726, 196, 102.547029861, 102.547029861
494, 25_121, 25_121, 0.0, 12127.9726, 36, 114.029645268, 114.029645268
